Timestamp	Filename	Error	Message
2014-03-19 20:08:40.654 -0700	PianoBox.fmp12	0	Import operations started
2014-03-19 20:08:40.655 -0700	PianoBox.fmp12	0	Import of tables from clipboard started
2014-03-19 20:08:40.658 -0700	PianoBox.fmp12	0	Table “SquareBoxes” imported as “SquareBoxes 2” since a table or table occurrence named “SquareBoxes” already exists.
2014-03-19 20:08:40.665 -0700	SquareBoxes 2	0	fields imported : 10
2014-03-19 20:08:40.666 -0700	PianoBox.fmp12	0	tables imported : 1
2014-03-19 20:08:40.666 -0700	PianoBox.fmp12	0	Import completed
2014-03-19 20:08:44.158 -0700	PianoBox.fmp12	0	Import operations committed
2014-03-19 20:08:44.158 -0700	PianoBox.fmp12	0	==================================================================
2014-03-19 20:10:36.954 -0700	PianoBox.fmp12	0	Import operations started
2014-03-19 20:10:36.956 -0700	PianoBox.fmp12	0	Import of tables from clipboard started
2014-03-19 20:10:36.957 -0700	PianoBox.fmp12	0	Table “SquareBoxes” imported as “SquareBoxes 3” since a table or table occurrence named “SquareBoxes” already exists.
2014-03-19 20:10:36.963 -0700	SquareBoxes 3	0	fields imported : 10
2014-03-19 20:10:36.965 -0700	PianoBox.fmp12	0	tables imported : 1
2014-03-19 20:10:36.965 -0700	PianoBox.fmp12	0	Import completed
2014-03-19 20:10:38.677 -0700	PianoBox.fmp12	0	Import operations committed
2014-03-19 20:10:38.678 -0700	PianoBox.fmp12	0	==================================================================
2014-03-19 20:30:00.724 -0700	PianoBox.fmp12	0	Import operations started
2014-03-19 20:30:00.727 -0700	PianoBox.fmp12	0	Import of tables from clipboard started
2014-03-19 20:30:00.728 -0700	PianoBox.fmp12	0	Table “SquareBoxes” imported as “SquareBoxes 4” since a table or table occurrence named “SquareBoxes” already exists.
2014-03-19 20:30:00.734 -0700	SquareBoxes 4	0	fields imported : 10
2014-03-19 20:30:00.735 -0700	PianoBox.fmp12	0	tables imported : 1
2014-03-19 20:30:00.735 -0700	PianoBox.fmp12	0	Import completed
2014-03-19 20:30:03.518 -0700	PianoBox.fmp12	0	Import operations committed
2014-03-19 20:30:03.518 -0700	PianoBox.fmp12	0	==================================================================
2014-03-19 21:30:32.639 -0700	PianoBox.fmp12	0	Import operations started
2014-03-19 21:30:32.643 -0700	PianoBox.fmp12	0	Import of tables from clipboard started
2014-03-19 21:30:32.645 -0700	PianoBox.fmp12	0	Table “SquareBoxes” imported as “SquareBoxes 5” since a table or table occurrence named “SquareBoxes” already exists.
2014-03-19 21:30:32.652 -0700	SquareBoxes 5	0	fields imported : 10
2014-03-19 21:30:32.653 -0700	PianoBox.fmp12	0	tables imported : 1
2014-03-19 21:30:32.653 -0700	PianoBox.fmp12	0	Import completed
2014-03-19 21:30:34.664 -0700	PianoBox.fmp12	0	Import operations committed
2014-03-19 21:30:34.664 -0700	PianoBox.fmp12	0	==================================================================
